"card-compact__title","card-compact__description","card-compact-review href","wowscore-pill","card-compact-review__text","media-slider__pages","media-slider__image src","media-slider__image src 2","media-slider__image src 3","badge","tile-button href","tile-button__title","div","tile-button href 2","tile-button__title 2","div 2","google-ad","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3"
"SEAT Ateca","Sportiver SUV mit großzügigem Platzangebot","https://www.carwow.de/seat/ateca","8/10","SEAT Ateca Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=ateca&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=ateca&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=seat&filter%5Bmodel_review_slug%5D=ateca&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.350 €","https://angebote.carwow.de/buying/car-configurator/trim?make=seat&model=ateca","Neue SEAT Ateca Angebote","Ab 25.648 €","https://www.carwow.de/seat/ateca/leasing","SEAT Ateca Leasing-Angebote","Leasen ab 169 € / Monat","","","",""
"Nissan JUKE","SUV mal anders","https://www.carwow.de/nissan/juke","7/10","Nissan JUKE Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=nissan&filter%5Bmodel_review_slug%5D=juke&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=nissan&filter%5Bmodel_review_slug%5D=juke&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=nissan&filter%5Bmodel_review_slug%5D=juke&filter%5Bsize%5D=medium","Mittl. Ersparnis 6.124 €","https://angebote.carwow.de/buying/car-configurator/trim?make=nissan&model=juke","Neue Nissan JUKE Angebote","Ab 20.950 €","https://www.carwow.de/nissan/juke/leasing","Nissan JUKE Leasing-Angebote","Leasen ab 169 € / Monat","","","",""
"Suzuki S-Cross","Kompakt-SUV mit Hybrid-Antrieb","https://www.carwow.de/suzuki/s-cross","7/10","Suzuki S-Cross Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=suzuki&filter%5Bmodel_review_slug%5D=s-cross-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=suzuki&filter%5Bmodel_review_slug%5D=s-cross-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=suzuki&filter%5Bmodel_review_slug%5D=s-cross-2022&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.872 €","https://angebote.carwow.de/buying/car-configurator/trim?make=suzuki&model=s-cross-2022","Neue Suzuki S-Cross Angebote","Ab 25.677 €","https://www.carwow.de/suzuki/s-cross/leasing","Suzuki S-Cross Leasing-Angebote","Leasen ab 178 € / Monat","","","",""
"Mazda 2 Hybrid","Sparsamer City-Flitzer mit Vollhybridantrieb","https://www.carwow.de/mazda/mazda-2-hybrid","8/10","Mazda 2 Hybrid Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=mazda&filter%5Bmodel_review_slug%5D=mazda-2-hybrid-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=mazda&filter%5Bmodel_review_slug%5D=mazda-2-hybrid-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=mazda&filter%5Bmodel_review_slug%5D=mazda-2-hybrid-2022&filter%5Bsize%5D=medium","Mittl. Ersparnis 5.743 €","https://angebote.carwow.de/buying/car-configurator/trim?make=mazda&model=mazda-2-hybrid-2022","Neue Mazda 2 Hybrid Angebote","Ab 20.483 €","https://www.carwow.de/mazda/mazda-2-hybrid/leasing","Mazda 2 Hybrid Leasing-Angebote","Leasen ab 165 € / Monat","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-8f0858bbcadfa39b62c528e7258c3830"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-8f0858bbcadfa39b62c528e7258c3830"", true);
  });",".google-ad#div-gpt-8f0858bbcadfa39b62c528e7258c3830 {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-8f0858bbcadfa39b62c528e7258c3830 {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-8f0858bbcadfa39b62c528e7258c3830 {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-8f0858bbcadfa39b62c528e7258c3830 {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-8f0858bbcadfa39b62c528e7258c3830 {
      min-height: 270px;
    }
  }"
"Opel Astra","Kompakter Allrounder mit guter Sicherheitsausstattung","https://www.carwow.de/opel/astra","8/10","Opel Astra Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=astra-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=astra-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=opel&filter%5Bmodel_review_slug%5D=astra-2021&filter%5Bsize%5D=medium","Mittl. Ersparnis 6.280 €","https://angebote.carwow.de/buying/car-configurator/trim?make=opel&model=astra-2021","Neue Opel Astra Angebote","Ab 24.534 €","https://www.carwow.de/opel/astra/leasing","Opel Astra Leasing-Angebote","Leasen ab 183 € / Monat","","","",""
"Dacia Bigster","","https://www.carwow.de/dacia/bigster","9/10","Dacia Bigster Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=bigster-2025&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=bigster-2025&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=dacia&filter%5Bmodel_review_slug%5D=bigster-2025&filter%5Bsize%5D=medium","","https://angebote.carwow.de/buying/car-configurator/trim?make=dacia&model=bigster-2025","Neue Dacia Bigster Angebote","Ab 24.480 €","https://www.carwow.de/dacia/bigster/leasing","Dacia Bigster Leasing-Angebote","Leasen ab 187 € / Monat","","","",""
"KIA Ceed","Sicherer Kompaktwagen mit gutem Fahrwerk","https://www.carwow.de/kia/ceed","8/10","KIA Ceed Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=ceed&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=ceed&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=ceed&filter%5Bsize%5D=medium","Mittl. Ersparnis 6.530 €","https://angebote.carwow.de/buying/car-configurator/trim?make=kia&model=ceed","Neue KIA Ceed Angebote","Ab 22.467 €","https://www.carwow.de/kia/ceed/leasing","KIA Ceed Leasing-Angebote","Leasen ab 188 € / Monat","","","",""
"Citroen C5 Aircross","Expressive SUV","https://www.carwow.de/citroen/c5-aircross","7/10","Citroen C5 Aircross review","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=citroen&filter%5Bmodel_review_slug%5D=c5-aircross&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=citroen&filter%5Bmodel_review_slug%5D=c5-aircross&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=citroen&filter%5Bmodel_review_slug%5D=c5-aircross&filter%5Bsize%5D=medium","Average savings €4,679","https://angebote.carwow.de/buying/car-configurator/trim?make=citroen&model=c5-aircross","New Citroen C5 Aircross offers","From 30,511 €","https://www.carwow.de/citroen/c5-aircross/leasing","Citroen C5 Aircross leasing offers","Leasing from 189 € / month","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7"", true);
  });",".google-ad#div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7 {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7 {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7 {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7 {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-4dc9d176bc2dd8e4ae3556da6b6286e7 {
      min-height: 270px;
    }
  }"
"Hyundai i20","Kleinwagen mit modernem, sportlichem Look","https://www.carwow.de/hyundai/i20","8/10","Hyundai i20 Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=hyundai&filter%5Bmodel_review_slug%5D=i20-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=hyundai&filter%5Bmodel_review_slug%5D=i20-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=hyundai&filter%5Bmodel_review_slug%5D=i20-2020&filter%5Bsize%5D=medium","Mittl. Ersparnis 3.700 €","https://angebote.carwow.de/buying/car-configurator/trim?make=hyundai&model=i20-2020","Neue Hyundai i20 Angebote","Ab 17.709 €","https://www.carwow.de/hyundai/i20/leasing","Hyundai i20 Leasing-Angebote","Leasen ab 199 € / Monat","","","",""
"KIA Ceed Sportswagon","Kompakter Kombi mit sportlichem Design","https://www.carwow.de/kia/ceed-sportswagon","8/10","KIA Ceed Sportswagon Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=ceed-sportswagon&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=ceed-sportswagon&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=ceed-sportswagon&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.268 €","https://angebote.carwow.de/buying/car-configurator/trim?make=kia&model=ceed-sportswagon","Neue KIA Ceed Sportswagon Angebote","Ab 22.712 €","https://www.carwow.de/kia/ceed-sportswagon/leasing","KIA Ceed Sportswagon Leasing-Angebote","Leasen ab 202 € / Monat","","","",""
"Jeep Compass","Geräumiger SUV in amerikanischem Design","https://www.carwow.de/jeep/compass","7/10","Jeep Compass Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=jeep&filter%5Bmodel_review_slug%5D=compass&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=jeep&filter%5Bmodel_review_slug%5D=compass&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=jeep&filter%5Bmodel_review_slug%5D=compass&filter%5Bsize%5D=medium","Mittl. Ersparnis 9.066 €","https://angebote.carwow.de/buying/car-configurator/trim?make=jeep&model=compass","Neue Jeep Compass Angebote","Ab 33.608 €","https://www.carwow.de/jeep/compass/leasing","Jeep Compass Leasing-Angebote","Leasen ab 205 € / Monat","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-cb6018aedec1383cc780f75a6cad0aa7"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-cb6018aedec1383cc780f75a6cad0aa7"", true);
  });",".google-ad#div-gpt-cb6018aedec1383cc780f75a6cad0aa7 {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-cb6018aedec1383cc780f75a6cad0aa7 {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-cb6018aedec1383cc780f75a6cad0aa7 {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-cb6018aedec1383cc780f75a6cad0aa7 {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-cb6018aedec1383cc780f75a6cad0aa7 {
      min-height: 270px;
    }
  }"
"KIA Stonic","Bunter Kompakt-SUV mit einfacher Bedienung","https://www.carwow.de/kia/stonic","7/10","KIA Stonic Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=stonic&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=stonic&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=kia&filter%5Bmodel_review_slug%5D=stonic&filter%5Bsize%5D=medium","Mittl. Ersparnis 3.727 €","https://angebote.carwow.de/buying/car-configurator/trim?make=kia&model=stonic","Neue KIA Stonic Angebote","Ab 20.413 €","https://www.carwow.de/kia/stonic/leasing","KIA Stonic Leasing-Angebote","Leasen ab 206 € / Monat","","","",""
"Volkswagen Polo GTI","Sportlicher Kleinwagen mit dem Plus an PS","https://www.carwow.de/volkswagen/polo-gti","8/10","Volkswagen Polo GTI Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=polo-gti-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=polo-gti-2021&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=volkswagen&filter%5Bmodel_review_slug%5D=polo-gti-2021&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.799 €","https://angebote.carwow.de/buying/car-configurator/trim?make=volkswagen&model=polo-gti-2021","Neue Volkswagen Polo GTI Angebote","Ab 28.841 €","https://www.carwow.de/volkswagen/polo-gti/leasing","Volkswagen Polo GTI Leasing-Angebote","Leasen ab 207 € / Monat","","","",""
"Ford Tourneo Connect","Geräumiger Hochdachkombi mit hohem Fahrkomfort","https://www.carwow.de/ford/tourneo-connect","8/10","Ford Tourneo Connect Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=ford&filter%5Bmodel_review_slug%5D=tourneo-connect-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=ford&filter%5Bmodel_review_slug%5D=tourneo-connect-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=ford&filter%5Bmodel_review_slug%5D=tourneo-connect-2022&filter%5Bsize%5D=medium","Mittl. Ersparnis 9.369 €","https://angebote.carwow.de/buying/car-configurator/trim?make=ford&model=tourneo-connect-2022","Neue Ford Tourneo Connect Angebote","Ab 25.311 €","https://www.carwow.de/ford/tourneo-connect/leasing","Ford Tourneo Connect Leasing-Angebote","Leasen ab 208 € / Monat","","","",""
"Toyota Proace City Verso","Spannender Neuankömmling unter den Hochdachkombis","https://www.carwow.de/toyota/proace-city-verso","8/10","Toyota Proace City Verso Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=toyota&filter%5Bmodel_review_slug%5D=proace-city-verso-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=toyota&filter%5Bmodel_review_slug%5D=proace-city-verso-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=toyota&filter%5Bmodel_review_slug%5D=proace-city-verso-2020&filter%5Bsize%5D=medium","Mittl. Ersparnis 4.093 €","https://angebote.carwow.de/buying/car-configurator/trim?make=toyota&model=proace-city-verso-2020","Neue Toyota Proace City Verso Angebote","Ab 22.451 €","https://www.carwow.de/toyota/proace-city-verso/leasing","Toyota Proace City Verso Leasing-Angebote","Leasen ab 215 € / Monat","","","",""
"Volvo EX30","Kleines SUV für den Elektro-Einstieg","https://www.carwow.de/volvo/ex30","8/10","Volvo EX30 Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=volvo&filter%5Bmodel_review_slug%5D=ex30-2023&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=volvo&filter%5Bmodel_review_slug%5D=ex30-2023&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=volvo&filter%5Bmodel_review_slug%5D=ex30-2023&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.263 €","https://angebote.carwow.de/buying/car-configurator/trim?make=volvo&model=ex30-2023","Neue Volvo EX30 Angebote","Ab 35.192 €","https://www.carwow.de/volvo/ex30/leasing","Volvo EX30 Leasing-Angebote","Leasen ab 215 € / Monat","","","",""
"","","","","","","","","","","","","","","","",".billboard-loading-container {
    container: loader / inline-size;
  }
  
  .billboard-loading {
    position: relative;
    width: 100%;
    height: 450px;
    overflow: hidden;
    border: 1px solid rgba(0,0,0,.12);
    border-radius: 10px;
    padding: 16px 24px;
    display: flex;
  }
  
  .billboard-loading__text-wrap {
    width: 100%;
  }
  
  .billboard-loading__rectangle {
    display: none;
  }
  
  .loading-placeholder-cta {
    height: 220px
  }
  
  @container loader (min-width: 651px) {
    .billboard-loading {
      height: 346px;
    }
    .billboard-loading__text-wrap {
      width: 37%;
    }
    .billboard-loading__rectangle {
      display: block;
      position: relative;
      width: 60%;
      height: 100%;
      margin-left: auto;
      border-radius: 12px;
      overflow: hidden;
    }
    .loading-placeholder-cta {
      height: 50px
    }
  }","window.carwowGoogleTag.push(function() {
    defineGoogleAdSlot('{""unitPath"":""/22378928785/de/car_card_ad"",""fluid"":true,""native"":true,""divId"":""div-gpt-3287312db1c630e7da29db7e26856d9a"",""targetingKeyValues"":{}}');
  });
  
  window.carwowGoogleTag.push(function() {
    displayGoogleAd(""div-gpt-3287312db1c630e7da29db7e26856d9a"", true);
  });",".google-ad#div-gpt-3287312db1c630e7da29db7e26856d9a {
    height: 100%;
  }",".google-ad-container {
    container: advert / inline-size;
  }
  
  .google-ad#div-gpt-3287312db1c630e7da29db7e26856d9a {
    position: relative;
  }
  
  @container advert (max-width: 650px) {
    .google-ad#div-gpt-3287312db1c630e7da29db7e26856d9a {
      min-height: 520px;
    }
  }
  
  @container advert (min-width: 651px) and (max-width: 1024px) {
    .google-ad#div-gpt-3287312db1c630e7da29db7e26856d9a {
      min-height: 270px;
    }
  }
  
  @container advert (min-width: 1025px) {
    .google-ad#div-gpt-3287312db1c630e7da29db7e26856d9a {
      min-height: 270px;
    }
  }"
"Skoda Karoq Sportline","Die sportliche Variante des Kompakt-SUVs","https://www.carwow.de/skoda/karoq-sportline","8/10","Skoda Karoq Sportline Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=karoq-sportline&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=karoq-sportline&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=karoq-sportline&filter%5Bsize%5D=medium","Mittl. Ersparnis 10.620 €","https://angebote.carwow.de/buying/car-configurator/trim?make=skoda&model=karoq-sportline","Neue Skoda Karoq Sportline Angebote","Ab 32.410 €","https://www.carwow.de/skoda/karoq-sportline/leasing","Skoda Karoq Sportline Leasing-Angebote","Leasen ab 217 € / Monat","","","",""
"Audi A1 Sportback","Individueller Stadtflitzer macht Platz für mehr","https://www.carwow.de/audi/a1-sportback","7/10","Audi A1 Sportback Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=audi&filter%5Bmodel_review_slug%5D=a1-sportback&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=audi&filter%5Bmodel_review_slug%5D=a1-sportback&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=audi&filter%5Bmodel_review_slug%5D=a1-sportback&filter%5Bsize%5D=medium","Mittl. Ersparnis 5.411 €","https://angebote.carwow.de/buying/car-configurator/trim?make=audi&model=a1-sportback","Neue Audi A1 Sportback Angebote","Ab 19.021 €","https://www.carwow.de/audi/a1-sportback/leasing","Audi A1 Sportback Leasing-Angebote","Leasen ab 218 € / Monat","","","",""
"Skoda Octavia","Hochwertige Limousine mit bösem Blick","https://www.carwow.de/skoda/octavia","9/10","Skoda Octavia Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=octavia-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=octavia-2020&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=skoda&filter%5Bmodel_review_slug%5D=octavia-2020&filter%5Bsize%5D=medium","Mittl. Ersparnis 7.939 €","https://angebote.carwow.de/buying/car-configurator/trim?make=skoda&model=octavia-2020","Neue Skoda Octavia Angebote","Ab 22.600 €","https://www.carwow.de/skoda/octavia/leasing","Skoda Octavia Leasing-Angebote","Leasen ab 220 € / Monat","","","",""
"MG MG ZS","Verbrenner Version des Kompakt SUVs","https://www.carwow.de/mg/zs-ce","7/10","MG MG ZS Testbericht","1/3","https://deals.carwow.de/image?filter%5Bangle%5D=rear&filter%5Bbrand_slug%5D=mg&filter%5Bmodel_review_slug%5D=zs-ce-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=side_left&filter%5Bbrand_slug%5D=mg&filter%5Bmodel_review_slug%5D=zs-ce-2022&filter%5Bsize%5D=medium","https://deals.carwow.de/image?filter%5Bangle%5D=front&filter%5Bbrand_slug%5D=mg&filter%5Bmodel_review_slug%5D=zs-ce-2022&filter%5Bsize%5D=medium","Mittl. Ersparnis 3.454 €","https://angebote.carwow.de/buying/car-configurator/trim?make=mg&model=zs-ce-2022","Neue MG MG ZS Angebote","Ab 18.841 €","https://www.carwow.de/mg/zs-ce/leasing","MG MG ZS Leasing-Angebote","Leasen ab 230 € / Monat","","","",""
