"FWtU1","fJrrk","fJrrk 2","FWtU1 href","Qj_9F src","LBG5d","Z_aNr","t5RmH","t5RmH 2","HaBLt","HaBLt 2","zmm9w","p7NSE src","Kh0Rn","HX987","qHfAA","W9v_K","y2ZHx","y2ZHx 2","y2ZHx 3"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415899533&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/46/46f429b4-e8f6-4cf5-80d5-10ae02095874?rule=mo-160w.jpg","Volkswagen Golf","GTI 2.0 TSI DSG  ACC LM18 SHZ Navi Pano Kam","36.890 €","¹","• 180 kW (245 PS) • Benzin","Neuwagen","7,4 l/100km (komb.) • 168 g CO₂/km (komb.) • CO₂-Klasse F (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d9/d9a9cd36-5cd3-4c0f-8225-3f504249df1c?rule=mo-80.jpg","85716 Unterschleissheim","DP Handels GmbH","4.5 Sterne","(52)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=411580338&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/3c/3c9c47be-e3a4-4f0a-85bf-cd72ebde8f87?rule=mo-160w.jpg","Volkswagen Golf","1.5 eTSI R-Line Black Style","36.940 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/59/5982099c-7c42-4a38-bbb8-db6390017514?rule=mo-80.jpg","92224 Amberg","Fischer Automobile Amberg GmbH & Co. KG","4.7 Sterne","(89)","Markenhändler","Inzahlungnahme möglich","statt UVP 46.092 €"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415837724&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a0/a013f14b-feaa-4a67-9f00-63a861c687b1?rule=mo-160w.jpg","Volkswagen Golf","R-Line 1,5 l eTSI OPF 110 kW (150 PS) 7-Gan","36.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/4e/4e1b6318-5bab-4f58-9b14-4574d9350390?rule=mo-80.jpg","91126 Schwabach","Autohaus Feser GmbH - VW","4.1 Sterne","(18)","Motor Euro 6e","Digitales Cockpit","Head-Up Display"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415837725&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a0/a013f14b-feaa-4a67-9f00-63a861c687b1?rule=mo-160w.jpg","Volkswagen Golf","R-Line 1,5 l eTSI OPF 110 kW (150 PS) 7-Gan","36.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/4e/4e1b6318-5bab-4f58-9b14-4574d9350390?rule=mo-80.jpg","91126 Schwabach","Autohaus Feser GmbH - VW","4.1 Sterne","(18)","Motor Euro 6e","Digitales Cockpit","Head-Up Display"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420796405&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/ca/ca29dcef-dea0-44c9-8d65-ecc5b8d35db1?rule=mo-160w.jpg","Volkswagen Golf","8 1.5 eTSI DSG Life BUSINESS NAVI SHZ 18","36.999 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 122 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/7f/7faa7b61-a0ae-43d1-8b11-08377b185da6?rule=mo-80.jpg","73431 Aalen","Auto Bierschneider Aalen GmbH","4.3 Sterne","(84)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418384888&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/8a/8afa59ef-a7ad-49fd-a109-5cfaa6493669?rule=mo-160w.jpg","BAIC Beijing X75","C62X *NEU*SOFORT*abn.AHK*","34.495 €","¹","• 130 kW (177 PS) • Benzin","Neuwagen","8,3 l/100km (komb.) • 188 g CO₂/km (komb.) • CO₂-Klasse G (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/ab/abf6307f-b741-4292-95af-cb2f4bc49fda?rule=mo-80.jpg","49828 Neuenhaus","Baasdam Automobile","4.7 Sterne","(5)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=411793416&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a8/a8ea0842-7a0c-457a-8958-fd2701a4ee84?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 l eTSI OPF 85 kW (116 PS) 7-Gang-D","37.115 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,0 l/100km (komb.) • 120 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/2a/2abc5281-72d8-4010-8a0c-11591c7095c1?rule=mo-80.jpg","13088 Berlin","Autohaus Möbus - VGRB GmbH","4.4 Sterne","(75)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413783419&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a3/a3aa1f10-29fa-46a2-a7a1-96fbdbb88c22?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 l eTSI OPF 85 kW (116 PS) 7-Gang-D","37.115 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,0 l/100km (komb.) • 120 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/2a/2abc5281-72d8-4010-8a0c-11591c7095c1?rule=mo-80.jpg","13088 Berlin","Autohaus Möbus - VGRB GmbH","4.4 Sterne","(75)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413783423&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/e5/e57feeed-9112-4a02-8576-ceff678ebc51?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 l eTSI OPF 85 kW (116 PS) 7-Gang-D","37.115 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,0 l/100km (komb.) • 120 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/2a/2abc5281-72d8-4010-8a0c-11591c7095c1?rule=mo-80.jpg","13088 Berlin","Autohaus Möbus - VGRB GmbH","4.4 Sterne","(75)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=410460377&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/5f/5f65add0-7fc2-41b8-b043-65ea86e7b4ec?rule=mo-160w.jpg","Volkswagen Golf","Variant Life 1.5 TSI ACC RFK AHK LED","29.190 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,9 l/100km (komb.) • 135 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/0b/0bc26bf9-be80-48ba-9a38-3366e877e09f?rule=mo-80.jpg","73312 Geislingen","AutoSchmid GmbH","4.9 Sterne","(29)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=403342452&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/86/86577927-3592-4f85-ba96-a15c5d54c69a?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 TSI SOFORT VERFÜGBAR Klima","28.690 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/43/438dc6c4-634d-43ce-8540-ca296fcbdfcd?rule=mo-80.jpg","30419 Hannover","Autohaus KAHLE GmbH & Co. KG","4.2 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=398886222&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/72/72b5c9fd-0fda-47f2-b0ee-23ef4ebec1d7?rule=mo-160w.jpg","Volkswagen Golf","VIII 1.5 TSI LIFE NAVI WINTERPAKET APP CONN","28.490 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/51/5157edaa-7c58-4f32-b73a-975524e31d38?rule=mo-80.jpg","55743 Idar-Oberstein","Autohaus Nahetal GmbH & Co KG","4.8 Sterne","(81)","Apple CarPlay","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419004530&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/85/85004622-5751-4daf-9578-bd092c5504bd?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI OPF 85 kW (116 PS) 6-Gang","28.780 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/43/438dc6c4-634d-43ce-8540-ca296fcbdfcd?rule=mo-80.jpg","30419 Hannover","Autohaus KAHLE GmbH & Co. KG","4.2 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=390195845&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/06/06672213-08c8-40a6-b932-5f7ad60dcfce?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1.5 TSI SideAssist ACC AppConnect LED","28.376 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 122 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/63/6326c4e6-5e92-47bb-a682-82afcd5ffa52?rule=mo-80.jpg","33613 Bielefeld","Autohaus Steinböhmer GmbH & Co. KG","4.8 Sterne","(3)","LED-Scheinw.","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=385043047&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/53/53af97c0-eae4-4aaa-973d-d789b2057ed0?rule=mo-160w.jpg","Volkswagen Golf","Variant Life 1.5 TSI FACELIFT ACC Bluetooth","28.318 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/63/6326c4e6-5e92-47bb-a682-82afcd5ffa52?rule=mo-80.jpg","33613 Bielefeld","Autohaus Steinböhmer GmbH & Co. KG","4.8 Sterne","(3)","LED-Scheinw.","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415471795&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/de/de7dcb98-f459-40da-a0ff-9ca8200e802b?rule=mo-160w.jpg","Volkswagen Golf","VIII Life 1.5 TSI LED ACC App-Connect","28.990 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 124 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/04/042df8c5-c7f6-4848-9ab2-ddeea2e0b2b4?rule=mo-80.jpg","48163 Münster","Knubel GmbH & Co. KG, Zweigniederlassung Münster-Süd","4.6 Sterne","(9)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=410769437&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/7e/7ef9990a-8ef8-4f64-80b7-5fecc07e5767?rule=mo-160w.jpg","Volkswagen Golf","VIII Variant 1.5 TSI OPF GOAL","28.990 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/22/22fdaa72-d6d3-4697-a3b5-ea9e9da80410?rule=mo-80.jpg","38440 Wolfsburg","Autohaus Wolfsburg Hotz und Heitmann GmbH & Co.KG","4.4 Sterne","(60)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420334720&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/72/72fe6120-c8e4-4e0f-9627-d0b9a341d20f?rule=mo-160w.jpg","Volkswagen Golf","Limousine (Life Edition) 1.5 eTSI OPF 11...","29.085 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 121 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/88/88446f4c-1590-4e71-be3e-7f7ded28a58a?rule=mo-80.jpg","42857 Remscheid","Bernhard Automobile UG (haftungsbeschränkt)","4.8 Sterne","(6)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420424074&con=NEW&dam=false&isSearchRequest=true&pageNumber=11&ref=srp&refId=ce42763b-2003-5313-f488-9018b74b9087&s=Car&sb=rel&searchId=ce42763b-2003-5313-f488-9018b74b9087&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/96/960a5909-c321-4f02-87a8-e3701b00e06e?rule=mo-160w.jpg","Volkswagen Golf","Style 1.5 TSI OPF D-Cockpit Pro Navi Keyles","27.980 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 133 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/55/5574f699-ef30-4542-9d00-566591ff7519?rule=mo-80.jpg","45307 Essen","Gottfried Schultz Automobilhandels SE","4.4 Sterne","(8)","","",""
"","Suche speichern","11","","","","","","","Speichere diese Suche und lass Dich benachrichtigen, wenn neue Angebote eingestellt werden.","","","","","","","","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=399935507&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/6f/6fce9d5d-651a-4092-ac7b-c1876dd2bdea?rule=mo-160w.jpg","Volkswagen Golf","GOAL Sondermodell Klima Einparkhilfe","27.950 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 122 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/7a/7a160aef-aedb-4f24-8d56-bfbf294b7844?rule=mo-80.jpg","31515 Wunstorf","Autohaus KAHLE GmbH & Co. KG","4.6 Sterne","(4)","","",""
"Versicherung ab 13,60 € mtl.","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=393222934&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/b4/b46b4716-898a-4d95-a0ea-ea2aade97d2b?rule=mo-160w.jpg","Volkswagen Golf","GTI 2.0 TSI 265 PS DSG 329,- mtl! RFK ACC","37.364 €","¹","• 195 kW (265 PS) • Benzin","Neuwagen","7,1 l/100km (komb.) • 162 g CO₂/km (komb.) • CO₂-Klasse F (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/9b/9bd17a49-3a21-4f45-a10b-890e85c17ad2?rule=mo-80.jpg","32805 Horn-Bad Meinberg","Kurt Stricker GmbH & Co. KG","4.4 Sterne","(142)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419753469&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/c1/c1d84227-7b05-47a3-b1b4-2b6d5cb112d2?rule=mo-160w.jpg","Volkswagen Golf","1.5 eTSI DSG Life LED R2D APP DAB RFK ACC","29.490 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/83/839ac4d6-1fc9-491b-af76-c46e3aca1982?rule=mo-80.jpg","83308 Trostberg","LOVEX GmbH","4.6 Sterne","(36)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420432878&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/45/45d411d6-2c45-4274-957a-44c242d850ca?rule=mo-160w.jpg","Volkswagen Golf","1.5 TSI Style APP-CONNECT/RFK/ACC+++","29.490 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/eb/eb682ab4-fc58-44ad-921e-cfb43dee11c6?rule=mo-80.jpg","40764 Langenfeld","Autohaus Schnitzler GmbH & Co. KG","4 Sterne","(24)","Lenkradheizung","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=406673977&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/58/5869b38e-d144-4744-aebc-a5586532f25a?rule=mo-160w.jpg","Volkswagen Golf","Life ""GOAL"" 1,5 l TSI 150 PS | HUD | Navi u","37.390 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,8 l/100km (komb.) • 133 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/df/df577e71-9116-4a8f-a374-512c8b9a8188?rule=mo-80.jpg","99423 Weimar","Autohaus Glinicke GmbH & Co. Vertriebs KG","4.2 Sterne","(8)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=408515761&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/9a/9a22151e-13ab-4334-840f-da2f321aa8ba?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 TSI LED+ NAVI SOFORT VERFÜGBAR","29.690 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/43/438dc6c4-634d-43ce-8540-ca296fcbdfcd?rule=mo-80.jpg","30419 Hannover","Autohaus KAHLE GmbH & Co. KG","4.2 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419734911&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/f5/f5c6ca8b-84e7-4d0c-ad0e-2cdac7ed924e?rule=mo-160w.jpg","Volkswagen Golf","1.5 eTSI DSG Life APP Kamera R2D ACC 17""","29.790 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/83/839ac4d6-1fc9-491b-af76-c46e3aca1982?rule=mo-80.jpg","83308 Trostberg","LOVEX GmbH","4.6 Sterne","(36)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=417646658&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/e6/e6c7cbe6-828b-48d2-a688-c8bfc3b8af3a?rule=mo-160w.jpg","Volkswagen Golf","Life1.5 l APP SHZ ACC 16""","27.333 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/37/371d1547-7cad-4614-95cb-4758b19bf432?rule=mo-80.jpg","89077 Ulm","VW Zentrum Ulm Held & Ströhle GmbH & Co.KG","4.7 Sterne","(2)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=385043043&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/d0/d0d66bfd-c088-4b2f-be6a-2ce0b589a3a8?rule=mo-160w.jpg","Volkswagen Golf","Life 1.5 TSI FACELIFT ACC AppConnect LED","27.356 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/63/6326c4e6-5e92-47bb-a682-82afcd5ffa52?rule=mo-80.jpg","33613 Bielefeld","Autohaus Steinböhmer GmbH & Co. KG","4.8 Sterne","(3)","LED-Scheinw.","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418086445&con=NEW&dam=false&isSearchRequest=true&pageNumber=12&ref=srp&refId=680e2298-c247-6785-f83c-e9014ee907eb&s=Car&sb=rel&searchId=680e2298-c247-6785-f83c-e9014ee907eb&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/72/72fe6120-c8e4-4e0f-9627-d0b9a341d20f?rule=mo-160w.jpg","Volkswagen Golf","Limousine (Goal) 1.5 TSI OPF 85kW (116 P...","27.285 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,8 l/100km (komb.) • 132 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/88/88446f4c-1590-4e71-be3e-7f7ded28a58a?rule=mo-80.jpg","42857 Remscheid","Bernhard Automobile UG (haftungsbeschränkt)","4.8 Sterne","(6)","","",""
